stage,horizon_months,n_people,n_events_total,events_by_horizon,known_event_free,early_censored,max_followup_days,horizon_days,screen_status,reason
train,12,260,<5,<5,198,60,884.0,365.0,potentially_evaluable,
train,36,260,<5,<5,0,257,884.0,1096.0,insufficient_support,seguimiento posterior al horizonte insuficiente
train,60,260,<5,<5,0,257,884.0,1826.0,insufficient_support,seguimiento posterior al horizonte insuficiente
validation,12,85,0,0,70,15,884.0,365.0,insufficient_support,pocos eventos observados al horizonte
validation,36,85,0,0,0,85,884.0,1096.0,insufficient_support,pocos eventos observados al horizonte; seguimiento posterior al horizonte insuficiente
validation,60,85,0,0,0,85,884.0,1826.0,insufficient_support,pocos eventos observados al horizonte; seguimiento posterior al horizonte insuficiente
test,12,92,0,0,71,21,884.0,365.0,insufficient_support,pocos eventos observados al horizonte
test,36,92,0,0,0,92,884.0,1096.0,insufficient_support,pocos eventos observados al horizonte; seguimiento posterior al horizonte insuficiente
test,60,92,0,0,0,92,884.0,1826.0,insufficient_support,pocos eventos observados al horizonte; seguimiento posterior al horizonte insuficiente
