stage,horizon_months,n_people,n_events_total,events_by_horizon,known_event_free,early_censored,max_followup_days,horizon_days,screen_status,reason
train,12,260,1,0,37,223,1917.0,365.0,insufficient_support,pocos eventos observados al horizonte
train,36,260,1,1,4,255,1917.0,1096.0,insufficient_support,pocos eventos observados al horizonte; seguimiento posterior al horizonte insuficiente
train,60,260,1,1,3,256,1917.0,1826.0,insufficient_support,pocos eventos observados al horizonte; seguimiento posterior al horizonte insuficiente
validation,12,85,0,0,12,73,1917.0,365.0,insufficient_support,pocos eventos observados al horizonte
validation,36,85,0,0,3,82,1917.0,1096.0,insufficient_support,pocos eventos observados al horizonte; seguimiento posterior al horizonte insuficiente
validation,60,85,0,0,1,84,1917.0,1826.0,insufficient_support,pocos eventos observados al horizonte; seguimiento posterior al horizonte insuficiente
test,12,92,0,0,9,83,1917.0,365.0,insufficient_support,pocos eventos observados al horizonte
test,36,92,0,0,3,89,1917.0,1096.0,insufficient_support,pocos eventos observados al horizonte; seguimiento posterior al horizonte insuficiente
test,60,92,0,0,1,91,1917.0,1826.0,insufficient_support,pocos eventos observados al horizonte; seguimiento posterior al horizonte insuficiente
