stage,horizon_months,status,reason,horizon_days,n_people,events_by_horizon,at_risk_horizon,training_at_risk_horizon,training_events_by_horizon,censoring_survival_train
validation,12,not_estimable,pocos eventos observados al horizonte para evaluar discriminación; pocos eventos de entrenamiento al horizonte para estimar probabilidades,365.0,85,0,70,200,0,0.7692307692307694
validation,36,not_estimable,pocos eventos observados al horizonte para evaluar discriminación,1096.0,85,0,51,158,<5,0.6139253754775239
validation,60,not_estimable,pocos eventos observados al horizonte para evaluar discriminación,1826.0,85,<5,48,140,5,0.5549972375822626
